App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Wir sind das Volk!,Strategy,3.9248,1860,150,1860,Strategy,2014,Strategy,Strategy,2,2,12,580
Warhammer: Invasion,Strategy,3.61224,5613,45,5613,Strategy,2009,Strategy,Strategy,2,2,13,581
King of New York,Family,3.48843,13487,40,13487,Family,2014,Family,Family,2,6,10,582
D-Day at Omaha Beach,Uncategorized,4.12444,1434,480,1434,Uncategorized,2009,Uncategorized,Uncategorized,1,2,12,583
Vasco da Gama,Strategy,3.627375,4224,120,4224,Strategy,2009,Strategy,Strategy,2,4,12,584
13 Days: The Cuban Missile Crisis,Strategy,3.675865,3535,45,3535,Strategy,2016,Strategy,Strategy,2,2,10,585
Between Two Castles of Mad King Ludwig,Family,3.684915,3410,60,3410,Family,2018,Family,Family,2,7,10,586
Panamax,Strategy,3.669215,3467,100,3467,Strategy,2014,Strategy,Strategy,2,4,12,587
Diplomacy,Strategy,3.52374,11813,360,11813,Strategy,1959,Strategy,Strategy,2,7,12,588
Reef,Family,3.567005,5955,45,5955,Family,2018,Family,Family,2,4,8,589
High Society,Family,3.5157,8173,30,8173,Family,1995,Family,Family,3,5,10,590
Saint Petersburg (Second Edition),Strategy,3.75876,2652,60,2652,Strategy,2014,Strategy,Strategy,2,5,13,591
Tajemnicze Domostwo,Party,3.59906,4771,60,4771,Party,2013,Party,Party,2,7,8,592
Tribune: Primus Inter Pares,Strategy,3.617815,4362,120,4362,Strategy,2007,Strategy,Strategy,2,5,12,593
Deep Sea Adventure,Family,3.5092,9578,30,9578,Family,2014,Family,Family,2,6,8,594
Exit: The Game – The Secret Lab,Family,3.579475,5074,150,5074,Family,2016,Family,Family,1,6,12,595
Warhammer Underworlds: Shadespire,Uncategorized,3.917775,2374,30,2374,Uncategorized,2017,Uncategorized,Uncategorized,2,2,12,596
Sprawlopolis,Family,3.735965,2892,20,2892,Family,2018,Family,Family,1,4,8,597
Yedo,Strategy,3.697775,3369,180,3369,Strategy,2012,Strategy,Strategy,2,5,14,598
Caverna: Cave vs Cave,Strategy,3.61109,4510,40,4510,Strategy,2017,Strategy,Strategy,1,2,10,599
Dungeons & Dragons: The Legend of Drizzt Board Game,Thematic,3.62987,5393,60,5393,Thematic,2011,Thematic,Thematic,1,5,12,600
One Deck Dungeon,Thematic,3.560195,7105,45,7105,Thematic,2016,Thematic,Thematic,1,2,14,601
6 nimmt!,Family,3.45625,18961,45,18961,Family,1994,Family,Family,2,10,8,602
Wits & Wagers,Party,3.47104,12918,25,12918,Party,2005,Party,Party,3,7,10,603
Space Hulk: Death Angel – The Card Game,Thematic,3.49494,11880,60,11880,Thematic,2010,Thematic,Thematic,1,6,13,604
